LoadingProb,MoveSteps_zebra,MoveSteps_zebra_std,MoveSteps_checker,MoveSteps_checker_std,MoveSteps_separate,MoveSteps_separate_std
3.400000000000000000e+01,1.238179979777553115e+02,1.507699281929925128e+01,9.431547017189079440e+01,9.313958414182575751e+00,1.909309623430962404e+02,2.006134534118196910e+01
3.600000000000000000e+01,1.214376257545271613e+02,1.429168099527852931e+01,9.268844221105527481e+01,9.171806104663073000e+00,1.927112526539278008e+02,2.145210091023033883e+01
3.800000000000000000e+01,1.182890000000000015e+02,1.405779068701764345e+01,9.112199999999999989e+01,9.104675502180185731e+00,1.910347071583514094e+02,2.050106841750317699e+01
4.000000000000000000e+01,1.163043043043043099e+02,1.442315912033497582e+01,8.893699999999999761e+01,8.995055919781711040e+00,1.930206611570247901e+02,2.296025101856681871e+01
4.200000000000000000e+01,1.135175175175175184e+02,1.452557867622914323e+01,8.748300000000000409e+01,9.332186828391295208e+00,1.927031250000000000e+02,2.158152709293173288e+01
4.400000000000000000e+01,1.107857857857857908e+02,1.443442103684200539e+01,8.536499999999999488e+01,9.037465076004442821e+00,1.962705099778270608e+02,2.354440997781293277e+01
4.600000000000000000e+01,1.086416416416416411e+02,1.388980325066016874e+01,8.436400000000000432e+01,8.944467787409152493e+00,1.973363028953229446e+02,2.275316460345085545e+01
4.800000000000000000e+01,1.083870000000000005e+02,1.479929832796136324e+01,8.278600000000000136e+01,8.887643332177546540e+00,2.005467289719626081e+02,2.499411451378930238e+01
5.000000000000000000e+01,1.064734734734734758e+02,1.463390577546856974e+01,8.152500000000000568e+01,8.658254731757434541e+00,2.032139423076923208e+02,2.463073240260994012e+01
5.200000000000000000e+01,1.048808808808808806e+02,1.493827221607728184e+01,8.084499999999999886e+01,9.210264654177967358e+00,2.056407506702412888e+02,2.494013532655216991e+01
5.400000000000000000e+01,1.033619999999999948e+02,1.517375879602677813e+01,7.977100000000000080e+01,9.185562530406071957e+00,2.081265508684863619e+02,2.633985488002943143e+01
5.600000000000000711e+01,1.022439999999999998e+02,1.500641409531271009e+01,7.882599999999999341e+01,9.230802998656184144e+00,2.110148883374689888e+02,2.758510002878281142e+01
5.799999999999999289e+01,1.015961923847695374e+02,1.583969878647807050e+01,7.818000000000000682e+01,9.771571009822320519e+00,2.165680000000000121e+02,2.737843511476383185e+01
6.000000000000000000e+01,9.955310621242485070e+01,1.545102435691878817e+01,7.706300000000000239e+01,9.619201162258747217e+00,2.194011142061281419e+02,2.862281068025384201e+01
6.200000000000000000e+01,1.001395582329317335e+02,1.591649902366420832e+01,7.751600000000000534e+01,9.924401442908282078e+00,2.228958333333333428e+02,2.928845427924560596e+01
6.400000000000000000e+01,9.940840840840840542e+01,1.641385951424962286e+01,7.693600000000000705e+01,1.025016604743552406e+01,2.279937500000000057e+02,2.887364647801694417e+01
6.600000000000000000e+01,9.835935935935935959e+01,1.605427449994890310e+01,7.806799999999999784e+01,1.083592986319125195e+01,2.315822784810126507e+02,3.355426649282942009e+01
6.800000000000000000e+01,9.895695695695695804e+01,1.822243689399155642e+01,7.769400000000000261e+01,1.101700340382991783e+01,2.391823361823361722e+02,3.179924251836327187e+01
7.000000000000000000e+01,9.824497991967871258e+01,1.739951716831130568e+01,7.773499999999999943e+01,1.131877974871849801e+01,2.434874551971326184e+02,3.438792538843240720e+01
7.200000000000000000e+01,9.904225352112676717e+01,1.917467691411453146e+01,7.802705410821643284e+01,1.212560638481544650e+01,2.509865319865319861e+02,3.463984714937127762e+01
7.400000000000000000e+01,1.002795156407669026e+02,2.007658329845910927e+01,7.901201201201200774e+01,1.283793863999903273e+01,2.550474308300395307e+02,3.151569223475393144e+01
