LoadingProb,Success_zebra,Success_zebra_std,Success_checker,Success_checker_std,Success_separate,Success_separate_std,Not_enough
4.600000000000000000e+01,9.989999999999999991e-01,3.160696125855821936e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.490000000000000102e-01,4.973921993759050086e-01,1.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.279999999999999916e-01,4.947888438515969378e-01,1.000000000000000000e+00
5.000000000000000000e+01,9.989999999999999991e-01,3.160696125855821936e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.159999999999999809e-01,4.928934976239796040e-01,1.000000000000000000e+00
5.200000000000000000e+01,9.989999999999999991e-01,3.160696125855821936e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.729999999999999982e-01,4.836021091765420055e-01,1.000000000000000000e+00
5.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.030000000000000249e-01,4.905007645253982029e-01,1.000000000000000000e+00
5.600000000000000711e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.030000000000000249e-01,4.905007645253982029e-01,1.000000000000000000e+00
5.799999999999999289e+01,9.979999999999999982e-01,4.467661580737735533e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000000e-01,4.841229182759271277e-01,1.000000000000000000e+00
6.000000000000000000e+01,9.979999999999999982e-01,4.467661580737735533e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.589999999999999858e-01,4.797072023641086869e-01,1.000000000000000000e+00
6.200000000000000000e+01,9.959999999999999964e-01,6.311893535223800367e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.360000000000000209e-01,4.723388614120164197e-01,1.000000000000000000e+00
6.400000000000000000e+01,9.989999999999999991e-01,3.160696125855821936e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000067e-01,4.664761515876239550e-01,1.000000000000000000e+00
6.600000000000000000e+01,9.989999999999999991e-01,3.160696125855821936e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.160000000000000031e-01,4.649128950674523142e-01,1.000000000000000000e+00
6.800000000000000000e+01,9.989999999999999991e-01,3.160696125855822630e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.509999999999999787e-01,4.772829349557765055e-01,1.000000000000000000e+00
7.000000000000000000e+01,9.959999999999999964e-01,6.311893535223800367e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.790000000000000258e-01,4.485075250204839103e-01,1.000000000000000000e+00
7.200000000000000000e+01,9.939999999999999947e-01,7.722693830523130742e-02,9.979999999999999982e-01,4.467661580737735533e-02,2.969999999999999862e-01,4.569365382632472605e-01,1.000000000000000000e+00
7.400000000000000000e+01,9.909999999999999920e-01,9.444045743218315581e-02,9.989999999999999991e-01,3.160696125855821936e-02,2.530000000000000027e-01,4.347309512790640817e-01,1.000000000000000000e+00
7.600000000000000000e+01,9.919999999999999929e-01,8.908422980528032942e-02,9.969999999999999973e-01,5.469003565550126233e-02,2.520000000000000018e-01,4.341612603630130018e-01,1.000000000000000000e+00
7.800000000000000000e+01,9.849999999999999867e-01,1.215524578114322019e-01,9.989999999999999991e-01,3.160696125855821936e-02,2.210000000000000020e-01,4.149204743080292523e-01,1.000000000000000000e+00
8.000000000000000000e+01,9.809999999999999831e-01,1.365247230357930774e-01,9.989999999999999991e-01,3.160696125855821936e-02,2.010000000000000120e-01,4.007480505255140990e-01,1.000000000000000000e+00
8.200000000000000000e+01,9.629999999999999671e-01,1.887617546008724390e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.119999999999999940e-01,4.087248463208470461e-01,1.000000000000000000e+00
8.400000000000000000e+01,9.409999999999999476e-01,2.356247015913229548e-01,9.959999999999999964e-01,6.311893535223800367e-02,1.559999999999999998e-01,3.628553430776512156e-01,1.000000000000000000e+00
8.600000000000000000e+01,9.419999999999999485e-01,2.337434491060658426e-01,9.979999999999999982e-01,4.467661580737735533e-02,1.459999999999999909e-01,3.531062163145814448e-01,1.000000000000000000e+00
8.800000000000000000e+01,9.190000000000000391e-01,2.728351150420341709e-01,9.979999999999999982e-01,4.467661580737735533e-02,1.270000000000000018e-01,3.329729718760968682e-01,1.000000000000000000e+00
9.000000000000000000e+01,8.870000000000000107e-01,3.165927984019851760e-01,9.979999999999999982e-01,4.467661580737735533e-02,9.900000000000000466e-02,2.986620163328440047e-01,1.000000000000000000e+00
9.200000000000000000e+01,8.529999999999999805e-01,3.541059163583687441e-01,9.959999999999999964e-01,6.311893535223800367e-02,7.299999999999999545e-02,2.601365026289083060e-01,1.000000000000000000e+00
